Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
5042393572917,-0.027641632,0.022067491,0.015042545,0.28983065,9.880862,0.26111677
5042396109271,-0.027641632,0.022067491,0.015653409,0.29222345,9.897612,0.2635096
5042398645625,-0.028939718,0.022067491,0.016264275,0.31615168,9.885648,0.28025934
5042401181927,-0.03138318,0.020234896,0.019929463,0.31615168,9.885648,0.28025934
5042403718281,-0.028328855,0.021456625,0.0193186,0.31615168,9.897612,0.28983065
5042406254636,-0.030772313,0.021456625,0.01809687,0.32333016,9.931111,0.3376871
5042408790938,-0.030772313,0.020234896,0.01809687,0.34247273,9.9598255,0.37836507
5042411327292,-0.030772313,0.01962403,0.017486004,0.34247273,9.9598255,0.37836507
5042413863646,-0.029550584,0.017180571,0.01687514,0.3400799,9.969397,0.43579283
5042416400000,-0.028328855,0.017791437,0.016264275,0.3400799,9.969397,0.43579283
5042418936302,-0.025809037,0.017791437,0.014431681,0.38554356,9.964611,0.46929234
5042421472656,-0.022754714,0.015958842,0.010155627,0.3687938,9.95504,0.47886363
5042424009011,-0.021456625,0.015958842,0.009544762,0.35204405,9.976575,0.49082774
5042426545365,-0.0184023,0.017180571,0.008933897,0.3687938,9.974182,0.5027919
5042429081667,-0.015958842,0.015347977,0.008933897,0.37357944,9.988539,0.53629136
5042431618021,-0.013439025,0.015347977,0.008933897,0.3711866,9.995717,0.5051847
5042434154375,-0.010995566,0.014126248,0.008933897,0.35443684,9.993324,0.4860421
5042436690677,-0.007864884,0.014126248,0.008323032,0.3592225,9.964611,0.45972106
5042439227031,-0.00481056,0.014126248,0.008323032,0.3592225,9.964611,0.45972106
5042441763386,-0.0016798781,0.013515383,0.0077121677,0.3472584,9.974182,0.43818563
5042444299740,-0.002290743,0.014126248,0.008323032,0.3472584,9.974182,0.43818563
5042446836042,-4.581486E-4,0.012904518,0.007101303,0.3400799,9.967004,0.4429713
5042449372396,1.527162E-4,0.014737112,0.008323032,0.3400799,9.967004,0.4429713
5042451908750,-4.581486E-4,0.013515383,0.008323032,0.3281158,9.962218,0.42622152
5042454445104,-4.581486E-4,0.013515383,0.008933897,0.33529428,9.931111,0.40707895
5042456981406,-0.0016798781,0.012904518,0.009544762,0.32333016,9.940682,0.39750767
5042459517761,-0.0016798781,0.011682789,0.008933897,0.32333016,9.897612,0.40947178
5042462054115,-0.0016798781,0.013515383,0.008323032,0.35204405,9.892826,0.40947178
5042464590417,-0.0029016077,0.012293654,0.010155627,0.33050862,9.866505,0.4022933
5042467126771,-0.002290743,0.012904518,0.008933897,0.33050862,9.871291,0.4334
5042469663125,-0.0041996953,0.011682789,0.009544762,0.33050862,9.871291,0.4334
5042472199479,-0.0041996953,0.012293654,0.011377357,0.33290145,9.856934,0.40947178
5042474735781,-0.0035888306,0.012904518,0.010766491,0.3065804,9.852148,0.4621139
5042477272136,-0.0041996953,0.011682789,0.011377357,0.3065804,9.852148,0.4621139
5042479808490,-0.0060322895,0.011071924,0.011377357,0.3065804,9.852148,0.4621139
5042482344844,-0.0041996953,0.011682789,0.013209951,0.34486556,9.842577,0.45254257
5042484881146,-0.0041996953,0.011071924,0.012599086,0.36400816,9.825827,0.45014977
5042487417500,-0.0035888306,0.012904518,0.013820816,0.35204405,9.835399,0.44775695
5042489953854,-0.0035888306,0.011682789,0.011988222,0.35204405,9.835399,0.44775695
5042492490209,-0.00481056,0.011682789,0.011377357,0.33290145,9.840184,0.43100718
5042495026511,-0.0054214248,0.00923933,0.011377357,0.33290145,9.840184,0.43100718
5042497562865,-0.0066431547,0.00923933,0.010155627,0.34486556,9.830613,0.41665024
5042500099219,-0.008475749,0.009850195,0.009544762,0.3592225,9.852148,0.4118646
5042502635521,-0.0072540194,0.0074067353,0.008323032,0.3999005,9.82822,0.4118646
5042505171875,-0.009086614,0.0067958706,0.007101303,0.3999005,9.82822,0.4118646
5042507708229,-0.010995566,0.0067958706,0.007101303,0.37836507,9.823434,0.39511484
5042510244584,-0.011606431,0.0049632764,0.005268709,0.37597227,9.82822,0.40468612
5042512780886,-0.013439025,0.0043524117,0.0034361144,0.34486556,9.825827,0.38793638
5042515317240,-0.01527162,0.0049632764,0.0034361144,0.36161533,9.84497,0.4142574
5042517853594,-0.015958842,0.0025198173,0.0022143847,0.33290145,9.8473625,0.40947178
5042520389896,-0.019013166,0.0037415468,0.0022143847,0.33290145,9.8473625,0.40947178
5042522926250,-0.01962403,0.0019089525,0.0034361144,0.34965122,9.830613,0.40468612
5042525462604,-0.020845762,0.0025198173,9.926553E-4,0.3281158,9.837791,0.4022933
5042527998959,-0.020845762,0.003130682,3.8179048E-4,0.3281158,9.837791,0.4022933
5042530535261,-0.022754714,0.0037415468,0.00160352,0.3281158,9.856934,0.4142574
5042533071615,-0.025809037,0.0043524117,9.926553E-4,0.3281158,9.856934,0.4142574
5042535607969,-0.028328855,0.003130682,0.0022143847,0.33050862,9.854541,0.392722
5042538144323,-0.028939718,0.003130682,0.0022143847,0.325723,9.885648,0.38793638
5042540680625,-0.027641632,0.0037415468,0.0022143847,0.3400799,9.880862,0.42622152
5042543216979,-0.030161448,0.003130682,0.0028252497,0.3376871,9.876077,0.43100718
5042545753334,-0.030772313,0.0037415468,0.0034361144,0.33050862,9.883255,0.474078
5042548289688,-0.028939718,0.0037415468,0.004657844,0.3281158,9.892826,0.48125646
5042550825990,-0.025809037,0.0043524117,0.0064904382,0.32333016,9.911968,0.48364928
5042553362344,-0.021456625,0.003130682,0.0058795735,0.31615168,9.92154,0.4884349
5042555898698,-0.019013166,0.003130682,0.004657844,0.3281158,9.940682,0.4549354
5042558435000,-0.019013166,0.0043524117,0.005268709,0.325723,9.98136,0.47168517
5042560971354,-0.016569708,0.0043524117,0.0058795735,0.3281158,9.978968,0.47168517
5042563507709,-0.016569708,0.0067958706,0.0040469794,0.34486556,9.993324,0.4621139
5042566044063,-0.01527162,0.008628465,0.004657844,0.38793638,9.971789,0.5386842
5042568580365,-0.010995566,0.008628465,0.004657844,0.38793638,9.971789,0.5386842
5042571116719,-0.008475749,0.010461059,0.005268709,0.37597227,9.945468,0.5554339
5042573653073,-0.0066431547,0.009850195,0.0040469794,0.36400816,9.916755,0.541077
5042576189375,-0.0035888306,0.00923933,0.004657844,0.37836507,9.902397,0.53389853
5042578725729,-0.0029016077,0.0067958706,0.0058795735,0.37836507,9.902397,0.53389853
5042581262084,-0.0016798781,0.0043524117,0.0077121677,0.36161533,9.92154,0.4645067
5042583798438,-0.0029016077,0.0025198173,0.009544762,0.36161533,9.902397,0.41665024
5042586334740,-0.00481056,0.0019089525,0.009544762,0.37836507,9.90479,0.37597227
5042588871094,-0.0066431547,-0.0011453715,0.008323032,0.40707895,9.92154,0.3472584
5042591407448,-0.007864884,-5.345067E-4,0.007101303,0.40707895,9.92154,0.3472584
5042593943802,-0.008475749,-0.0035888306,0.0058795735,0.4334,9.907183,0.34247273
5042596480104,-0.010995566,-0.0041996953,0.0028252497,0.42382872,9.897612,0.3472584
5042599016459,-0.012217295,-0.0054214248,3.8179048E-4,0.41904306,9.883255,0.36400816
5042601552813,-0.01527162,-0.0060322895,-0.0026725335,0.392722,9.890433,0.37836507
5042604089167,-0.017180571,-0.0072540194,-0.0026725335,0.392722,9.890433,0.37836507
5042606625469,-0.020234896,-0.007864884,-0.0032833982,0.37836507,9.868897,0.392722
5042609161823,-0.020845762,-0.007864884,-0.0032833982,0.35204405,9.880862,0.4118646
5042611698177,-0.022143848,-0.007864884,-0.0020616686,0.35443684,9.861719,0.42622152
5042614234531,-0.021456625,-0.008475749,-8.3993905E-4,0.34486556,9.883255,0.4956134
5042616770834,-0.022143848,-0.008475749,-0.0014508038,0.34486556,9.883255,0.4956134
5042619307188,-0.020845762,-0.009697478,3.8179048E-4,0.32333016,9.84497,0.5315057
5042621843542,-0.022754714,-0.008475749,9.926553E-4,0.32333016,9.84497,0.5315057
5042624379844,-0.020845762,-0.008475749,9.926553E-4,0.325723,9.859326,0.541077
5042626916198,-0.020845762,-0.0072540194,0.0028252497,0.30179477,9.856934,0.5243273
5042629452552,-0.019013166,-0.0066431547,0.0028252497,0.30179477,9.856934,0.5243273
5042631988906,-0.0184023,-0.0054214248,0.0028252497,0.2970091,9.900004,0.5243273
5042634525209,-0.017791437,-0.00481056,0.0028252497,0.30418757,9.914362,0.49082774
5042637061563,-0.017180571,-0.00481056,0.0034361144,0.30897322,9.900004,0.48364928
5042639597917,-0.017180571,-0.0029779659,0.0022143847,0.30179477,9.935897,0.4549354
5042642134219,-0.017791437,-0.002367101,0.0022143847,0.30179477,9.935897,0.4549354
5042644670573,-0.0184023,-0.0017562362,9.926553E-4,0.30897322,9.911968,0.474078
5042647206927,-0.017180571,-5.345067E-4,0.0022143847,0.31615168,9.916755,0.4621139
5042649743281,-0.015958842,7.63581E-5,0.0028252497,0.3065804,9.926326,0.47886363
5042652279584,-0.016569708,6.8722287E-4,0.00160352,0.3065804,9.926326,0.47886363
5042654815938,-0.016569708,0.0012980876,9.926553E-4,0.3281158,9.916755,0.49800622
5042657352292,-0.015958842,0.0019089525,0.00160352,0.325723,9.914362,0.49800622
5042659888646,-0.015958842,0.0012980876,3.8179048E-4,0.33290145,9.909575,0.4884349
5042662424948,-0.015958842,0.0012980876,9.926553E-4,0.3472584,9.914362,0.54346985
5042664961302,-0.012217295,6.8722287E-4,-2.290743E-4,0.3400799,9.935897,0.55064833
5042667497656,-0.012217295,0.003130682,-2.290743E-4,0.3711866,9.9191475,0.55782676
5042670033959,-0.010384701,0.0012980876,-2.290743E-4,0.3711866,9.9191475,0.55782676
5042672570313,-0.009086614,0.0012980876,-0.0014508038,0.39032918,9.911968,0.55064833
5042675106667,-0.009086614,7.63581E-5,-0.0020616686,0.39032918,9.911968,0.55064833
5042677643021,-0.007864884,0.0012980876,-2.290743E-4,0.34965122,9.928719,0.55782676
5042680179323,-0.0072540194,0.0012980876,-0.0014508038,0.37357944,9.909575,0.5673981
5042682715677,-0.0041996953,0.0012980876,-0.0020616686,0.41665024,9.885648,0.55064833
5042685252031,-0.0041996953,0.0019089525,-8.3993905E-4,0.36400816,9.885648,0.54346985
5042687788386,-0.0060322895,0.0012980876,-0.0014508038,0.3711866,9.900004,0.52193445
5042690324688,-0.0060322895,0.0012980876,-0.0014508038,0.39032918,9.888041,0.5075775
5042692861042,-0.0054214248,0.0019089525,-0.0014508038,0.39032918,9.888041,0.5075775
5042695397396,-0.0066431547,6.8722287E-4,-8.3993905E-4,0.392722,9.868897,0.49322057
5042697933750,-0.0072540194,7.63581E-5,-0.0026725335,0.42622152,9.878469,0.4884349
5042700470052,-0.0097738365,-0.0011453715,-0.0014508038,0.41665024,9.864112,0.44536412
5042703006406,-0.009086614,-0.0011453715,-0.0020616686,0.41665024,9.864112,0.44536412
5042705542761,-0.012217295,-0.0017562362,-8.3993905E-4,0.41904306,9.873684,0.46929234
5042708079063,-0.01282816,-0.0017562362,-0.0026725335,0.40947178,9.866505,0.474078
5042710615417,-0.0140498895,-0.002367101,-0.0026725335,0.4214359,9.890433,0.5027919
5042713151771,-0.015958842,-0.0011453715,-0.0026725335,0.4214359,9.890433,0.5027919
5042715688125,-0.01527162,-0.0029779659,-0.0026725335,0.41904306,9.864112,0.4884349
5042718224427,-0.01527162,-0.0041996953,-0.0032833982,0.42382872,9.892826,0.50039905
5042720760781,-0.01527162,-0.0041996953,-0.0014508038,0.42622152,9.897612,0.51236314
5042723297136,-0.01527162,-0.00481056,-0.0014508038,0.4334,9.902397,0.5075775
5042725833438,-0.015958842,-0.0054214248,-0.003894263,0.45014977,9.911968,0.5051847
5042728369792,-0.01527162,-0.0072540194,-0.0026725335,0.45254257,9.914362,0.51475596
5042730906146,-0.014660755,-0.0066431547,-0.0032833982,0.4118646,9.928719,0.51475596
5042733442500,-0.01282816,-0.009086614,-0.0032833982,0.4118646,9.928719,0.51475596
5042735978854,-0.01282816,-0.009697478,-0.0032833982,0.4214359,9.928719,0.5027919
5042738515156,-0.01282816,-0.011530072,-0.0020616686,0.45732823,9.911968,0.51236314
5042741051511,-0.012217295,-0.012140937,-0.0032833982,0.4334,9.928719,0.50039905
5042743587865,-0.011606431,-0.012751802,-0.0026725335,0.44536412,9.92154,0.49082774
5042746124167,-0.011606431,-0.013362667,-0.003894263,0.43579283,9.945468,0.49322057
5042748660521,-0.010995566,-0.013362667,-0.0051159924,0.44057846,9.928719,0.48125646
5042751196875,-0.009086614,-0.013973532,-0.003894263,0.42622152,9.935897,0.4764708
5042753733229,-0.009086614,-0.014584397,-0.0045051277,0.44536412,9.933504,0.5027919
5042756269531,-0.010995566,-0.013973532,-0.0051159924,0.44536412,9.933504,0.5027919
5042758805886,-0.011606431,-0.013362667,-0.0063377223,0.41665024,9.947861,0.52193445
5042761342240,-0.008475749,-0.013973532,-0.005726857,0.41665024,9.947861,0.52193445
5042763878594,-0.0097738365,-0.012140937,-0.006948587,0.4334,9.928719,0.5195416
5042766414896,-0.0066431547,-0.012140937,-0.006948587,0.43818563,9.935897,0.5554339
5042768951250,-0.008475749,-0.010919208,-0.006948587,0.44057846,9.931111,0.5841478
5042771487604,-0.009086614,-0.012140937,-0.005726857,0.44057846,9.931111,0.5841478
5042774023906,-0.0072540194,-0.010919208,-0.005726857,0.39032918,9.928719,0.5841478
5042776560261,-0.0054214248,-0.010308343,-0.0063377223,0.42382872,9.892826,0.6056832
